enro_animal_id,redcap_data_access_group,enro_model,enro_sex,rand_conduct,rand_conduct_rsn,rand_conduct_rsn_oth,rand_clot_length,txas_reperfusion,srg_conduct,srg_conduct_rsn,srg_conduct_rsn_oth,srg_comments___1,srg_comments___2,srg_comments___3,srg_comments___4,srg_comments___5,srg_comments___6,srg_comments___7,srg_comments___8,srg_comments___9,srg_exact_occ,srg_animal_age,srg_length_surgery,srg_awake_min,srg_concom_meds_lrs_nacl,srg_concom_meds_sq,eos_day_diff_srg_death,enro_weight,srg_weight,eos_weight,postop_d1_weight,postop_d2_weight,postop_d3_weight,postop_d4_weight,postop_d5_weight,postop_d6_weight,postop_d7_weight,postop_d8_weight,srg_nds_score,postop_d1_nds_score,postop_d2_nds_score,eos_nds_score,bank_tissue_type___1,bank_tissue_type___2,bank_tissue_type___3,bank_tissue_type___4,bank_tissue_type___6,bank_tissue_type___5,srg_clot_length,srg_embolic_draw_sex,srg_donor_eartag,behav_d30_conduct,rand_reperfusion_dose,srg_reperfsn_dose,srg_embolic_draw_dt,srg_actual_surg_dt,srg_reperfsn_vial,txas_reperfusion_actual,rand_reperfusion_vial,txas_pop_assg_comment
RQ9447,sd,5,0,1,,,3,1,1,,,0,0,0,0,0,0,0,0,0,120,2.4,170,88,1,1,36,198.7,219.4,250,191.8,179.8,189.6,1195.7,,,210.1,211.1,1,3,2,0,1,1,1,1,0,1,3,0,"LJ 5491",1,0.2,0.2,2025-07-08,2025-08-04,"TNK C",1,"TNK C",
RQ9448,sd,5,0,1,,,3,2,1,,,0,0,0,0,0,0,0,0,0,120,2.46,169,96,1,1,36,199.1,238.9,280.9,222.3,209.1,,,221.3,224.1,219.5,227.5,1,1,1,2,1,1,0,1,0,1,3,0,"LJ 5491",1,0.2,0.2,2025-07-08,2025-07-30,"TNK G",2,"TNK G",
RQ9450,sd,5,0,1,,,4,2,1,,,0,0,0,0,0,0,0,0,0,120,2.6,155,90,1,1,36,225,140.4,267.2,209.1,196.2,185.4,,,203.1,212.4,209.5,2,3,3,2,1,1,1,1,0,1,4,0,"LJ 5491",1,0.23,0.25,2025-07-08,2025-07-15,"TNK G",2,"TNK G",
RQ9456,sd,5,0,1,,,4,1,1,,,0,0,0,0,0,0,0,0,0,120,2.63,167,93,1,1,12,231.1,246.5,,210.3,196.4,,,170,178,163.2,147.6,2,3,2,,0,0,0,0,0,0,4,0,"LJ 5491",0,0.23,0.29,2025-06-20,2025-07-02,"TNK H",1,"TNK H",
RQ9457,sd,5,1,1,,,4,2,1,,,0,0,0,0,0,0,0,0,0,122,2.6,207,78,1,1,1,337,400,,,,,,,,,,1,,,,0,0,0,0,0,0,4,1,VV5900,0,0.337,0.34,2025-06-23,2025-06-24,"TNK G",2,"TNK G",
RQ9462,sd,5,1,1,,,4,2,1,,,0,0,0,0,0,0,0,0,0,120,2.63,183,88,1,1,33,399.2,443,430.8,388.6,390.9,,,268.8,312,305.5,290.6,2,1,1,2,1,1,1,1,0,1,4,1,"LJ 5491",1,0.4,0.4,2025-06-20,2025-07-02,"TNK G",2,"TNK G",
RQ9463,sd,5,1,1,,,4,1,1,,,0,0,0,0,0,0,0,0,0,120,2.66,176,98,1,1,4,372.7,413,,363,,,,,,,,2,2,,,0,0,0,0,0,0,4,1,VV5900,0,0.37,0.4,2025-06-23,2025-07-10,"TNK F",1,"TNK F",
RR0052,iw,5,1,0,3,"aNIMAL WILL BE USED FOR cLOT PREPRATION ON 06.23.25",,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,309,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,"aNIMAL WILL BE USED FOR cLOT PREPRATION ON 06.23.25"
RR0053,iw,5,1,1,,,4,1,1,,,0,0,0,0,0,0,0,0,0,120,2.89,152,106,1,1,42,296,335,445,284,268,215,217,298,302,305,,2,2,3,2,1,0,0,0,0,0,4,1,WS4353,1,0.3,0.3,2025-06-29,2025-06-30,"TNK H",1,"TNK H",
RR0054,iw,5,0,1,,,4,2,1,,,0,0,0,0,0,0,0,0,0,120,2.23,144,99,1,1,1,255,277,245,,,,,,,,,2,,,,0,0,0,0,0,0,4,0,BW5453,0,0.26,0.26,2025-06-29,2025-07-01,"TNK G",2,"TNK G",
