enro_animal_id,redcap_data_access_group,enro_model,enro_species,mri_d2_conduct,p_mri_d2_ind,p_mri_d2_rsn___1,p_mri_d2_rsn___2,p_mri_d2_rsn___3,p_mri_d2_rsn___4,p_mri_d2_rsn___5,p_mri_d2_rsn___6,p_mri_d2_rsn___7,p_mri_d2_rsn___8,p_mri_d2_rsn___9,p_mri_d2_rsn_oth,p_mri_d2_adc_qa_snr,p_mri_d2_t2_qa_snr,p_mri_d2_mid_shift_indx,p_mri_d2_mid_shift_left,p_mri_d2_mid_shift_right,p_mri_d2_hem_left_tis,p_mri_d2_hem_right_tis,p_mri_d2_hem_left_csf,p_mri_d2_hem_right_csf,p_mri_d2_hem_right_les,p_mri_d2_hem_left_tot,p_mri_d2_hem_right_tot,p_mri_d2_vol_tis,p_mri_d2_vol_csf,p_mri_d2_vol_les,p_mri_d2_vol_tot,p_mri_d2_fract_csf,p_mri_d2_fract_csf_left,p_mri_d2_fract_csf_right,p_mri_d2_fract_tis,p_mri_d2_fract_tis_left,p_mri_d2_fract_tis_right,p_mri_d2_fract_les,p_mri_d2_fract_les_left,p_mri_d2_fract_les_right,p_mri_d2_comments,mri_d2_conduct_rsn,mri_d2_conduct_rsn_oth,mri_d2_upload_ida,mri_d2_upload_ida_rsn,mri_d2_anes_start_t,txas_reperfusion,txas_reperfusion_actual,enro_sex,rand_clot_length,srg_clot_length
BW4847,sd,5,1,1,1,0,0,0,0,0,0,0,0,0,,4.178142389,11.13586685," -0.125558",7.63874,6.73628,710.5664063,651.3945313,28.87695313,34.16601563,30.0625,739.4433594,715.6230469,1361.960938,63.04296875,30.06640625,1455.07,0.04332642,0.039052285,0.047743034,0.9360106,0.960947715,0.910248117,0.02066321,0,0.042008848,,,,1,,08:31,2,2,0,3,3
BW4848,sd,5,1,1,1,0,0,0,0,0,0,0,0,0,,4.245239799,10.98351419,0.115275,6.77338,7.60193,680.7890625,529.1953125,34.56445313,59.56445313,155.4179688,715.3535156,744.1777344,1209.984375,94.12890625,155.4804688,1459.594,0.06448979,0.048318003,0.080040628,0.8289867,0.951681997,0.711114144,0.1065231,0,0.208845228,,,,1,,12:51,2,2,0,3,3
BW4849,sd,5,1,1,1,0,0,0,0,0,0,0,0,0,,5.114291672,12.64631672,0.398064,5.75697,8.61807,614.0527344,275.8847656,72.69140625,92.2109375,401.3769531,686.7578125,769.4726562,889.9375,164.9023438,401.546875,1456.387,0.113227,0.105847221,0.119836536,0.6110584,0.894132871,0.358537452,0.2757144,1.99E-05,0.521626012,,,,1,,07:03,2,2,1,4,3
BW5451,iw,5,1,1,1,0,0,0,0,0,0,0,0,0,,3.258753896,4.11172901,0.00508067,7.10695,7.14315,705.8261719,518.9042969,13.83007813,22.99609375,178.3671875,719.7226563,720.2675782,1224.730469,36.82617188,178.5,1440.056,0.02557273,0.019215844,0.031927154,0.8504739,0.98069189,0.720432673,0.1239535,9.23E-05,0.247640173,,,,1,,11:46,2,2,0,4,4
BW5452,iw,5,1,1,1,0,0,0,0,0,0,0,0,0,,3.032320724,3.714159741,0.0904735,6.86246,7.51275,676.78125,664.0859375,21.9375,22.64648438,32.1796875,698.7246094,718.9121094,1340.867188,44.58398438,32.20117188,1417.652,0.03144917,0.03139649,0.031501047,0.9458365,0.968595124,0.923737309,0.02271444,8.39E-06,0.044761643,,,,1,,09:50,2,2,1,4,4
BW5454,iw,5,1,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,0,4,4
BW5455,iw,5,1,1,1,0,0,0,0,0,0,0,0,0,,3.109035058,3.822476444,0.280244,6.18041,8.19468,681.8359375,530.2519531,10.93945313,9.55859375,215.734375,692.7753906,755.5449219,1212.087891,20.49804688,215.8183594,1448.404,0.01415216,0.015790765,0.012651258,0.8368439,0.984209235,0.701813933,0.1490043,0,0.285534809,,,,1,,10:48,1,1,1,4,4
BW5457,iw,5,1,1,1,0,0,0,0,0,0,0,0,0,,3.246448152,4.071614817,0.0878322,6.6928,7.30765,667.3125,690.6503906,23.70117188,24.0625,3.763671875,691.015625,718.4765625,1357.962891,47.76367188,3.76953125,1409.497,0.03388703,0.034299039,0.033491002,0.963438,0.965698135,0.961270592,0.00267438,2.83E-06,0.005238406,,,,1,,10:40,1,1,1,4,4
BW5459,iw,5,1,1,1,0,0,0,0,0,0,0,0,0,,3.277916376,4.028057955,0.0981098,6.71605,7.40896,656.5292969,666.8847656,29.4453125,29.51171875,11.59375,685.984375,707.9902344,1323.414063,58.95703125,11.60351563,1393.975,0.04229418,0.042924174,0.041683794,0.9493814,0.95706159,0.941940627,0.008324052,1.42E-05,0.016375579,,,,1,,11:57,2,2,0,3,3
BW5460,iw,5,1,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,2,0,3,
BW5461,iw,5,1,1,1,0,0,0,0,0,0,0,0,0,,3.133975879,3.959421791,0.0650599,6.77254,7.22797,659.8828125,662.3203125,14.52929688,17.04296875,16.02734375,674.4121094,695.390625,1322.203125,31.57226563,16.02734375,1369.802,0.02304878,0.021543648,0.024508482,0.9652512,0.978456352,0.952443546,0.01170048,0,0.023047972,,,,1,,10:39,1,1,0,3,3
BW5692,sd,5,1,1,1,0,0,0,0,0,0,0,0,0,,2.369779987,1.418900473," -0.901122",10.3357,3.91492,778.7109375,346.2324219,5.759765625,5.80859375,286.3320313,798.7753906,638.373047,1124.943359,11.56835938,300.8027344,1437.314,0.008048596,0.007210745,0.009099059,0.7826703,0.974880982,0.542366918,0.2092811,0.017908273,0.448534024,"Lesion segmentation is accurate, but bad T2 quality removes CSF signal - bad CSF segmentation and midline estimate; T2 quality issue (UCSD brought to my attention previously); T2/ADC acquisition dimensions different from TOF/T2*; had to resample to match T2",,,1,,12:05,2,2,0,4,4
BW5693,sd,5,1,1,1,0,0,0,0,0,0,0,0,0,,3.804183074,4.008999519,0.161042,6.72372,7.90134,680.796875,602.265625,1.52734375,3.3515625,116.8046875,682.3300781,722.421875,1283.0625,4.87890625,116.8417969,1404.783,0.003473067,0.002238424,0.004639342,0.9133525,0.997752989,0.833675787,0.08317427,8.5873E-06,0.161684871,,,,1,,09:15,1,1,1,4,4
BW5694,sd,5,1,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,2,0,4,4
BW5704,sd,5,1,1,1,0,0,0,0,0,0,0,0,0,,3.77094282,11.12650036," -0.0426148",7.34073,7.03443,696.4355469,688.5039063,26.69921875,22.92773438,4.115234375,723.2363282,715.5468751,1384.939453,49.62695313,4.216796875,1438.783,0.03449231,0.036916313,0.032042254,0.9625767,0.962943259,0.962206573,0.002930808,0.000140428,0.005751174,,,,1,,09:30,1,1,0,4,4
BW5706,sd,5,1,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,1,4,
CC9890,dk,5,1,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,2,0,4,4
