enro_animal_id,redcap_data_access_group,enro_model,enro_species,mri_d2_conduct,p_mri_d2_ind,p_mri_d2_rsn___1,p_mri_d2_rsn___2,p_mri_d2_rsn___3,p_mri_d2_rsn___4,p_mri_d2_rsn___5,p_mri_d2_rsn___6,p_mri_d2_rsn___7,p_mri_d2_rsn___8,p_mri_d2_rsn___9,p_mri_d2_rsn_oth,p_mri_d2_adc_qa_snr,p_mri_d2_t2_qa_snr,p_mri_d2_mid_shift_indx,p_mri_d2_mid_shift_left,p_mri_d2_mid_shift_right,p_mri_d2_hem_left_tis,p_mri_d2_hem_right_tis,p_mri_d2_hem_left_csf,p_mri_d2_hem_right_csf,p_mri_d2_hem_right_les,p_mri_d2_hem_left_tot,p_mri_d2_hem_right_tot,p_mri_d2_vol_tis,p_mri_d2_vol_csf,p_mri_d2_vol_les,p_mri_d2_vol_tot,p_mri_d2_fract_csf,p_mri_d2_fract_csf_left,p_mri_d2_fract_csf_right,p_mri_d2_fract_tis,p_mri_d2_fract_tis_left,p_mri_d2_fract_tis_right,p_mri_d2_fract_les,p_mri_d2_fract_les_left,p_mri_d2_fract_les_right,p_mri_d2_comments,mri_d2_conduct_rsn,mri_d2_conduct_rsn_oth,mri_d2_upload_ida,mri_d2_upload_ida_rsn,mri_d2_anes_start_t,txas_reperfusion,txas_reperfusion_actual,enro_sex,rand_clot_length,srg_clot_length,p_mri_d2_hem_left_les
CC9891,dk,5,1,1,1,0,0,0,0,0,0,0,0,0,,4.102435592,5.505640387," -0.00244008",7.19639,7.17885,700.1074219,665.7792969,33.375,30.39257813,37.703125,733.5722656,733.875,1365.886719,63.76757813,37.80859375,1467.464,0.04345427,0.04549654,0.041413835,0.9307806,0.954380986,0.907210761,0.02576458,0.000122474,0.051375405,,,,1,,10:40,2,2,1,4,4,0.08984375
CC9892,dk,5,1,1,1,0,0,0,0,0,0,0,0,0,,5.225513333,6.504662344,0.372172,5.85013,8.52517,625.0253906,304.8769531,67.28710938,90.77539063,371.9199219,692.3183594,767.5722656,929.9023438,158.0625,372.1621094,1460.127,0.1082526,0.097190994,0.118262989,0.636864,0.902800543,0.397196416,0.2548834,8.46E-06,0.484540594,,,,1,,12:20,2,2,0,4,4,0.005859375
CC9893,dk,5,1,1,1,0,0,0,0,0,0,0,0,0,,4.826589348,5.98193611,0.109453,6.79424,7.58095,699.3945313,550.1210938,22.3359375,28.6484375,167.9335938,721.7304688,746.703125,1249.515625,50.984375,168.0273438,1468.527,0.03471804,0.030947755,0.03836657,0.8508635,0.969052245,0.736733349,0.1144189,0,0.224900082,,,,1,,12:00,1,1,1,4,4,0
CC9894,dk,5,1,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,0,4,4,
CC9895,dk,5,1,1,1,0,0,0,0,0,0,0,0,0,,4.522101849,6.137546051,0.389782,5.78687,8.5885,594.6914063,316.4492188,100.4667969,63.51757813,390.4804688,695.171875,770.4472656,911.140625,163.984375,390.7382813,1465.863,0.1118688,0.144520802,0.082442473,0.6215728,0.855459531,0.41073443,0.2665585,1.97E-05,0.506823096,,,,1,,11:45,1,1,1,4,4,0.013671875
CC9916,ag,5,1,1,1,0,0,0,0,0,0,0,0,0,,3.632779728,5.611619958,0.280266,6.18047,8.19494,625.2558594,275.5136719,81.76757813,100.4921875,387.5234375,707.0371094,763.5292969,900.7695313,182.2597656,387.7753906,1470.804,0.1239185,0.115648213,0.131615366,0.6124334,0.88433245,0.360842306,0.2636486,1.93E-05,0.507542329,,,,1,,09:00,1,1,1,4,4,0.013671875
CC9917,ag,5,1,1,1,0,0,0,0,0,0,0,0,0,,3.112745195,5.206003082," -0.044401",7.34726,7.02812,715.3027344,611.0136719,18.98828125,20.79101563,98.2578125,735.9003906,730.0625,1326.316406,39.77929688,99.93945313,1466.034,0.02713395,0.025802787,0.028478405,0.9046966,0.972010266,0.836933375,0.06816994,0.002186947,0.13458822,,,,1,,13:10,2,2,1,4,4,1.609375
CC9918,ag,5,1,1,1,0,0,0,0,0,0,0,0,0,,3.760135537,6.044929235,0.421157,5.67401,8.7011,568.3320313,267.8378906,124.390625,125.4140625,383.0703125,692.7363281,776.3222656,836.1699219,249.8046875,383.3105469,1469.286,0.1700178,0.179564172,0.16154897,0.5690995,0.820416092,0.345008642,0.2608822,1.97E-05,0.493442388,,,,1,,11:30,1,1,0,4,4,0.013671875
CC9919,ag,5,1,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,2,0,4,4,
CD0516,yl,5,1,1,1,0,0,0,0,0,0,0,0,0,,8.545109455,10.50802984,0.10728,6.68368,7.44134,652.9765625,676.234375,46.57226563,48.82617188,5.837890625,699.5488281,730.8984375,1329.210938,95.3984375,5.837890625,1430.447,0.06669135,0.066574718,0.06680295,0.9292277,0.933425282,0.92520977,0.004081166,0,0.00798728,,,,1,,11:30,1,1,0,3,3,0
