"","enro_animal_id","rand_conduct","srg_conduct","successful_surgery","txas_reperfusion_actual","srg_clot_length"
"231","WX5839","Yes","Yes","Yes",NA,4
"232","WX5853","Yes","Yes","Yes",NA,4
"233","WX5854","Yes","Yes","Yes",NA,4
"234","WX5855","Yes","Yes","Yes",NA,4
"235","WX6555","Yes","Yes","Yes",NA,3
"236","WX6556","Yes","Yes","Yes",NA,3
"237","WX6563","Yes","Yes","Yes",NA,3
"238","WX6564","Yes","Yes","Yes",NA,3
"239","WX6573","Yes","Yes","Yes",NA,3
"240","WX6577","Yes","Yes","Yes",NA,3
"241","WX6618","Yes","Yes","Yes",NA,3
"242","WX6619","Yes","Yes","Yes",NA,3
"243","WX6624","Yes","Yes","Yes",NA,3
"244","WX6625","Yes","Yes","Yes",NA,3
"245","WX6637","Yes","Yes","Yes",NA,4
"246","WX6638","Yes","Yes","Yes",NA,3
"247","WX6639","Yes","Yes","Yes",NA,3
"248","WX6640","Yes","Yes","Yes",NA,4
"249","WX6642","Yes","Yes","Yes",NA,4
"250","WX6644","Yes","Yes","Yes",NA,4
"251","WX6646","Yes","Yes","Yes",NA,4
"252","WX6649","Yes","Yes","Yes",NA,3
