"","enro_animal_id","rand_conduct","srg_conduct","successful_surgery","txas_reperfusion_actual","srg_clot_length","eos_day_diff_srg_death","behav_d30_conduct"
"142","RV9618","Yes","Yes","Yes",NA,3,30,1
"143","RV9619","Yes","Yes","Yes",NA,3,30,1
"144","VV5204","Yes","Yes","Yes",NA,4,44,1
"145","VV5205","Yes","Yes","Yes",NA,4,35,1
"146","VV5213","Yes","Yes","Yes",NA,4,42,1
"147","VV5214","Yes","Yes","Yes",NA,4,38,1
"148","VV5249","Yes","Yes","Yes",NA,3,42,1
"149","VV5258","Yes","Yes","Yes",NA,3,41,1
"150","WI2549","Yes","Yes","Yes",NA,4,38,1
"151","WI2550","Yes","Yes","Yes",NA,4,31,1
"152","WS3717","Yes","Yes","Yes",NA,3,36,1
"153","WS3718","Yes","Yes","Yes",NA,3,37,1
"154","WS3721","Yes","Yes","Yes",NA,3,37,1
"155","WS3762","Yes","Yes","Yes",NA,4,34,1
"156","WS3763","Yes","Yes","Yes",NA,4,43,1
"157","WS4351","Yes","Yes","Yes",NA,4,31,1
"158","WS4352","Yes","Yes","Yes",NA,4,30,1
"159","WS4354","Yes","Yes","Yes",NA,4,30,1
"160","WS4355","Yes","Yes","Yes",NA,4,29,1
"161","WS4356","Yes","Yes","Yes",NA,4,30,1
"162","WS4358","Yes","Yes","Yes",NA,4,29,1
"163","WS4360","Yes","Yes","Yes",NA,3,30,1
"164","WS4361","Yes","Yes","Yes",NA,3,30,1
"165","WS4362","Yes","Yes","Yes",NA,3,29,1
"166","WX5835","Yes","Yes","Yes",NA,4,31,1
"167","WX5838","Yes","Yes","Yes",NA,4,29,1
"168","WX5839","Yes","Yes","Yes",NA,4,29,1
"169","WX5853","Yes","Yes","Yes",NA,4,30,1
"170","WX5854","Yes","Yes","Yes",NA,4,29,1
"171","WX6556","Yes","Yes","Yes",NA,3,33,1
"172","WX6563","Yes","Yes","Yes",NA,3,34,1
"173","WX6564","Yes","Yes","Yes",NA,3,31,1
"174","WX6573","Yes","Yes","Yes",NA,3,36,1
"175","WX6618","Yes","Yes","Yes",NA,3,30,1
"176","WX6619","Yes","Yes","Yes",NA,3,30,1
"177","WX6625","Yes","Yes","Yes",NA,3,31,1
"178","WX6637","Yes","Yes","Yes",NA,4,31,1
"179","WX6639","Yes","Yes","Yes",NA,3,30,1
"180","WX6640","Yes","Yes","Yes",NA,4,31,1
"181","WX6642","Yes","Yes","Yes",NA,4,31,1
"182","WX6644","Yes","Yes","Yes",NA,4,31,1
